0,1,2,3,4
-0.0037252800136360845,-0.00015991189854104929,-2.6034289678485492e-05,0.02041849142948622,-0.009838903306545126
-0.003701264831205563,-7.242984884328792e-05,9.763485107592076e-05,0.020264069076560406,-0.00970252551079693
-0.0036801065142598663,-1.2125258618884971e-05,-6.617884857607753e-05,0.02046911545065544,-0.009856098201132873
-0.0036870436789360264,-0.0002192425420302034,9.577319736639445e-05,0.020314159659361276,-0.009995396228605203
-0.003238725690471578,-0.00013358161398812664,-1.5589586838744146e-05,0.02033586425909862,-0.009693392858651242
-0.003406018972671826,-0.00027364015535286286,-5.1940036772503764e-05,0.020535845545745945,-0.009608149566227079
-0.003661148910868616,-0.00039252094616028764,0.00013154354367200458,0.020594318638318752,-0.009290468980856136
-0.003553629637408069,4.44377372247496e-05,0.0001500296030099088,0.020395723307541653,-0.009628985840747102
-0.003926960914728051,7.41499778369216e-05,0.00029001200345148137,0.020453647393840316,-0.009866726246173066
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
